# C = 100 
#
# t1 = 1.0
# t2 = 3.0
# t3 = 5.0
# t4 = 6.0
#
a                        t1                        t2                        t3                        t4                        
0.2                       8.496100808363687e-11    3.875537485391277e-10    1.02133454811074e-09     1.5612081434180615e-09   
0.3                       8.797040690001063e-08    3.618718790542812e-07    8.457683452822181e-07    1.2109608585726555e-06   
0.4                       7.355644713704262e-06    2.811627035256051e-05    6.045802666743108e-05    8.275029360857122e-05    
0.5                       0.00014663144666388368   0.0005293370922291184    0.001068147148034175     0.0014131511330028792    
0.6                       0.0011484291906268605    0.003955489922980391     0.0075836269054221275    0.009765369639642564     
0.7                       0.004715627929489309     0.015604843871801572     0.02866723419635756      0.03610046310616372      
0.8                       0.012400012235330644     0.03962551184455473      0.07018027921820069      0.08672686370584516      
0.9                       0.024213710180265823     0.07501144393941178      0.12867705683955222      0.15645348412545454      
1.0                       0.038961434951820265     0.11736428615698667      0.1957156918541595       0.23460822978369777      
1.1                       0.055287701284342676     0.16234194362593746      0.2639427811683253       0.31244539732391174      
1.2                       0.07219513278263488      0.2070570707288661       0.32900668880787926      0.3851241833684389       
1.3                       0.08907775039803568      0.24995861028976885      0.38894953885425076      0.4507223092914303       
